Well,Sample,T7,singleColony,imaging,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A03,#305,3,1,0,allGFP,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,6767,161,6606,106,164,55,"6,442.00",18.33,,,,,,,,"1,175.39",,,,,,,,,,,,,,"3,113.47",652.59,711.14,,,,,,,,,,,,,,,,,,
B03,#306,1,1,1,shortREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,9719,1877,7842,"1,090.00",787,696,"7,146.00",129.54,,,,,,,,,,,,,,,,,,,,,,"6,954.28",199.62,"1,504.13",,,,,,,,,,,,,,,,,,
B03,#306,1,1,1,allGFP,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,9719,1786,7933,"1,090.00",787,696,"7,146.00",129.54,,,,,,,,,,,,,,,,,,,,,,"3,487.80",672.44,"1,189.80",,,,,,,,,,,,,,,,,,
C03,#307,1,1,1,shortREF,310.67,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"6,213.35",,,322.51,298.94,11578,2687,8891,"1,617.00","1,070.00","1,417.00","7,474.00",153.26,,,,,,,,"1,277.80",,,,,,,,,,,,,,"6,914.59",201.41,"1,759.40",,,,,316.69,304.67,,,,,,,,,,,,
C03,#307,1,1,1,allGFP,357.5,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"7,150.06",,,370.34,344.8,11578,3034,8544,"1,617.00","1,070.00","1,417.00","7,474.00",153.26,3.45,,,3.63,3.27,3,,,,,shortREF,1.15,,,1.21,1.09,53.5,,,54.8,52.21,"3,593.21",672.69,"1,438.01",,,,,364.04,351.01,,,3.54,3.36,,,1.18,1.12,,,54.17,52.84
D03,#308,1,1,1,shortREF,371.22,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"7,424.36",,,383.14,359.42,14028,3796,10232,"1,722.00","2,074.00","1,631.00","8,601.00",117.07,,,,,,,,"1,349.59",,,,,,,,,,,,,,"7,058.48",205.08,"2,059.62",,,,,377.28,365.18,,,,,,,,,,,,
D03,#308,1,1,1,allGFP,321.35,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"6,427.08",,,332.32,310.49,14028,3353,10675,"1,722.00","2,074.00","1,631.00","8,601.00",117.07,2.6,,,2.72,2.48,3,,,,,shortREF,0.87,,,0.91,0.83,46.4,,,47.56,45.24,"3,610.23",685.2,"1,384.35",,,,,326.93,315.8,,,2.66,2.54,,,0.89,0.85,,,46.99,45.81
E03,#309,,,0,shortREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,10304,0,10304,0,0,5,"10,299.00",0,,,,,,,,,,,,,,,,,,,,,,0,206.76,206.76,,,,,,,,,,,,,,,,,,
E03,#309,,,0,allGFP,0.57,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,11.42,,,1.24,0.2,10304,5,10299,0,0,5,"10,299.00",0,,,,,,,,846.58,,,,,,,,,,,,,,"1,425.12",689.64,690,,,,,0.87,0.35,,,,,,,,,,,,
F03,#310,2,1,0,shortREF,252.55,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"5,050.98",,,262.05,243.12,14214,2746,11468,936,"1,810.00","1,478.00","9,990.00",56.65,,,,,,,,678.39,,,,,,,,,,,,,,"7,053.22",207.69,"1,530.18",,,,,257.39,247.73,,,,,,,,,,,,
F03,#310,2,1,0,allGFP,218.97,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"4,379.48",,,227.75,210.26,14214,2414,11800,936,"1,810.00","1,478.00","9,990.00",56.65,2.6,,,2.74,2.46,3,,,,,shortREF,0.87,,,0.91,0.82,46.44,,,47.8,45.08,"3,664.26",695.58,"1,199.76",,,,,223.45,214.52,,,2.67,2.53,,,0.89,0.84,,,47.13,45.74
G03,#311,3,1,0,shortREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,11087,0,11087,0,0,0,"11,087.00",0,,,,,,,,,,,,,,,,,,,,,,0,190.38,190.38,,,,,,,,,,,,,,,,,,
G03,#311,3,1,0,allGFP,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,11087,0,11087,0,0,0,"11,087.00",0,,,,,,,,,,,,,,,,,,,,,,0,626.65,626.65,,,,,,,,,,,,,,,,,,
H03,#312,,1,0,shortREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,6928,15,6913,1,14,8,"6,905.00",0.17,,,,,,,,,,,,,,,,,,,,,,"7,049.50",211.72,226.52,,,,,,,,,,,,,,,,,,
H03,#312,,1,0,allGFP,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,6928,9,6919,1,14,8,"6,905.00",0.17,,,,,,,,,,,,,,,,,,,,,,"3,555.66",697.22,700.93,,,,,,,,,,,,,,,,,,
A04,#313,,,0,shortREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,10508,0,10508,0,0,0,"10,508.00",0,,,,,,,,,,,,,,,,,,,,,,0,196.76,196.76,,,,,,,,,,,,,,,,,,
A04,#313,,,0,allGFP,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,10508,0,10508,0,0,0,"10,508.00",0,,,,,,,,,,,,,,,,,,,,,,0,688.25,688.25,,,,,,,,,,,,,,,,,,
B04,#314,,1,0,shortREF,34.19,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,683.81,,,37.83,30.56,11870,340,11530,191,149,422,"11,108.00",18.51,,,,,,,,,,,,,,,,,,,,,,"6,813.91",193.52,383.15,,,,,36.05,32.34,,,,,,,,,,,,
B04,#314,,1,0,allGFP,62.38,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"1,247.62",,,67.33,57.45,11870,613,11257,191,149,422,"11,108.00",18.51,5.47,,,6.2,4.75,3,,,,,shortREF,1.82,,,2.07,1.58,64.6,,,67.63,61.56,"3,686.90",658.29,814.7,,,,,64.9,59.86,,,5.84,5.1,,,1.95,1.7,,,66.14,63.05
C04,#315,,,0,shortREF,0.18,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,3.67,,,0.59,0.03,12810,2,12808,0,2,2,"12,806.00",0,,,,,,,,,,,,,,,,,,,,,,"6,283.87",198.22,199.17,,,,,0.35,0.08,,,,,,,,,,,,
C04,#315,,,0,allGFP,0.18,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,3.67,,,0.59,0.03,12810,2,12808,0,2,2,"12,806.00",0,3,,,9.47,0,3,,,,,shortREF,1,,,3.16,0,50,,,103.95,0,"3,923.37",672.62,673.13,,,,,0.35,0.08,,,6.16,0,,,2.05,0,,,76.32,23.68
D04,#316,,1,0,shortREF,1.59,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,31.83,,,2.45,0.96,13317,18,13299,1,17,22,"13,277.00",0.09,,,,,,,,,,,,,,,,,,,,,,"7,144.01",201.04,210.43,,,,,2,1.25,,,,,,,,,,,,
D04,#316,,1,0,allGFP,2.03,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,40.67,,,2.99,1.31,13317,23,13294,1,17,22,"13,277.00",0.09,3.83,,,6.22,1.44,3,,,,,shortREF,1.28,,,2.07,0.48,56.1,,,71.45,40.75,"3,836.00",675.41,680.87,,,,,2.49,1.64,,,5.04,2.63,,,1.68,0.88,,,63.86,48.34
E04,#317,1,1,1,shortREF,115.56,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"2,311.19",,,122.24,108.92,12367,1157,11210,564,593,440,"10,770.00",52.5,,,,,,,,,,,,,,,,,,,,,,"7,085.39",209.69,852.95,,,,,118.96,112.17,,,,,,,,,,,,
E04,#317,1,1,1,allGFP,99.61,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"1,992.22",,,105.79,93.46,12367,1004,11363,564,593,440,"10,770.00",52.5,2.59,,,2.8,2.37,3,,,,,shortREF,0.86,,,0.93,0.79,46.29,,,48.4,44.19,"3,573.10",698.53,931.9,,,,,102.76,96.47,,,2.7,2.47,,,0.9,0.82,,,47.37,45.22
F04,#318,3,1,0,shortREF,848.37,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"16,967.32",,,869.6,827.51,12692,6521,6171,"4,377.00","2,144.00","3,107.00","3,064.00",224.28,,,,,,,,"1,355.24",,,,,,,,,,,,,,"6,976.49",212.05,"3,687.54",,,,,859.15,837.68,,,,,,,,,,,,
F04,#318,3,1,0,allGFP,"1,047.97",OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"20,959.43",,,"1,072.77","1,023.69",12692,7484,5208,"4,377.00","2,144.00","3,107.00","3,064.00",224.28,3.71,,,3.83,3.58,3,,,,,shortREF,1.24,,,1.28,1.19,55.26,,,56.11,54.42,"3,592.64",697.71,"2,404.74",,,,,"1,060.56","1,035.52",,,3.77,3.64,,,1.26,1.21,,,55.69,54.83
G04,#319,,1,0,shortREF,0.52,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,10.4,,,1.13,0.18,11314,5,11309,0,5,2,"11,307.00",0,,,,,,,,,,,,,,,,,,,,,,"6,634.04",206.68,209.52,,,,,0.79,0.32,,,,,,,,,,,,
G04,#319,,1,0,allGFP,0.21,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,4.16,,,0.67,0.03,11314,2,11312,0,5,2,"11,307.00",0,1.2,,,3.33,0,3,,,,,shortREF,0.4,,,1.11,0,28.57,,,64.84,0,"4,037.86",690.02,690.61,,,,,0.4,0.09,,,2.25,0.15,,,0.75,0.05,,,46.37,10.77
H04,#320,,,0,shortREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,9487,0,9487,0,0,6,"9,481.00",0,,,,,,,,,,,,,,,,,,,,,,0,206.78,206.78,,,,,,,,,,,,,,,,,,
H04,#320,,,0,allGFP,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,9487,6,9481,0,0,6,"9,481.00",0,,,,,,,,850.86,,,,,,,,,,,,,,"1,364.61",690.44,690.86,,,,,,,,,,,,,,,,,,
A05,#321,1,1,1,shortREF,50.71,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"1,014.20",,,55.45,45.99,10477,442,10035,214,228,236,"9,799.00",23.65,,,,,,,,,,,,,,,,,,,,,,"7,050.68",197.05,486.19,,,,,53.12,48.3,,,,,,,,,,,,
A05,#321,1,1,1,allGFP,51.65,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"1,032.96",,,56.43,46.89,10477,450,10027,214,228,236,"9,799.00",23.65,3.06,,,3.46,2.65,3,,,,,shortREF,1.02,,,1.15,0.88,50.46,,,53.74,47.18,"3,638.77",682.85,809.81,,,,,54.09,49.22,,,3.26,2.85,,,1.09,0.95,,,52.13,48.78
B05,#322,1,1,1,shortREF,684.54,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"13,690.82",,,703.41,665.97,11978,5284,6694,"3,628.00","1,656.00","2,552.00","4,142.00",288.85,,,,,,,,,,,,,,,,,,,,,,"7,171.99",209.96,"3,281.20",,,,,694.13,675.03,,,,,,,,,,,,
B05,#322,1,1,1,allGFP,853.6,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"17,071.97",,,875.55,832.04,11978,6180,5798,"3,628.00","1,656.00","2,552.00","4,142.00",288.85,3.74,,,3.88,3.6,3,,,,,shortREF,1.25,,,1.29,1.2,55.5,,,56.42,54.57,"3,611.66",701.81,"2,203.14",,,,,864.75,842.55,,,3.81,3.67,,,1.27,1.22,,,55.97,55.02
C05,#323,3,1,0,shortREF,"1,008.52",OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"20,170.47",,,"1,031.81",985.69,13572,7813,5759,"4,333.00","3,480.00","1,306.00","4,453.00",329.17,,,,,,,,,,,,,,,,,,,,,,"7,175.94",209.81,"4,220.01",,,,,"1,020.35",996.82,,,,,,,,,,,,
C05,#323,3,1,0,allGFP,631.74,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"12,634.77",,,648.55,615.17,13572,5639,7933,"4,333.00","3,480.00","1,306.00","4,453.00",329.17,1.88,,,1.94,1.81,3,,,,,shortREF,0.63,,,0.65,0.6,38.51,,,39.34,37.69,"3,395.34",712.86,"1,827.40",,,,,640.28,623.25,,,1.91,1.85,,,0.64,0.62,,,38.94,38.09
D05,#324,1,1,1,shortREF,792.86,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"15,857.14",,,812.91,773.14,12935,6342,6593,"5,288.00","1,054.00","3,879.00","2,714.00",406.83,,,,,,,,,,,,,,,,,,,,,,"7,155.01",213.78,"3,617.05",,,,,803.05,782.76,,,,,,,,,,,,
